,Power,Var2,Var3,Eta
last_value,64.8535,0.030783380000000003,26.84909,0.7843846430889179
MaxScala,100.0,0.03,40.0,100.0
Media,53.556747873309995,0.026,26.9,0.647753638055146
Dev,2.3151688659752576,0.006,0.5,0.028001309175735734
