,Power,Var2,Var3,Eta
last_value,124.3536175,0.0587239225,28.11906,0.752807792286859
MaxScala,360.0,0.11,40.0,100.0
Media,116.19094170893918,0.0954,27.0,0.7033928571610523
Dev,13.158892020454795,0.016155494421403512,0.7071067811865476,0.07966086270759062
