,Power,Var2,Var3,Eta
last_value,204.0033,1.9687,1.4432,0.7177491200254867
MaxScala,400.0,3.0,2.0,100.0
Media,209.4892142067038,0.9787,1.41,0.737050327870639
Dev,5.7914334817878235,0.983,0.04,0.02037612276487366
